"GSM279601_MIX_A.CEL" "GSM279602_MIX_A.CEL" "GSM279603_MIX_A.CEL" "GSM279604_MIX_B.CEL" "GSM279605_MIX_B.CEL" "GSM279606_MIX_B.CEL" "GSM279607_MIX_C.CEL" "GSM279608_MIX_C.CEL" "GSM279609_MIX_C.CEL" "GSM279610_MIX_D.CEL" "GSM279611_MIX_D.CEL" "GSM279612_MIX_D.CEL"
"CYP19A1" 3.33690220187323 3.22317279969706 3.23390772679348 3.13361252685153 3.30476160940041 3.26680131296891 3.38168508995298 3.11292865469181 3.21713016378235 3.1393517844934 3.21749779228749 3.39308698446843
"DOCK2" 4.40998334068223 4.35571092307767 4.34026638889732 4.55808616336961 4.37311070364719 4.56909792161984 4.54151713898461 4.3063112878164 4.54326092690405 4.34915781749122 4.71485065362161 4.81188365093917
"CYTH4" 5.16196441753628 5.28466729950776 5.26375269310145 5.20480210226489 5.3223450152439 5.24177510844444 5.23613541202386 5.18588494066828 5.59145044075418 5.18684760517264 5.60382896245568 5.44279209138377
"DRAXIN" 4.38626722705539 4.39971148632228 4.46397444875128 4.42466492260718 4.56861628934835 4.67899624004222 4.41796994535559 4.32600002368369 4.26533155081668 4.81020001569723 4.34184903396827 4.56291981781517
"STAP1" 7.61901383552293 7.64489235752177 7.56554815834627 9.10063061273448 8.57595604723441 8.80139577092038 8.18353718392191 8.25972039308599 8.07240927437595 8.15570121786998 8.70262104117234 8.32422486106025
"TRAM2" 6.86626939328045 6.83840238151972 7.03055438883121 6.53494002108381 6.82187768630846 6.66048141670424 6.75924198944619 6.69374542068006 6.9803415628545 6.623871378591 6.57652995041752 6.86065689963036
"CLEC7A" 6.43419052549075 6.45644483748317 6.38707868187494 6.87915508268632 6.8381301405923 6.75608188662576 6.41544034041386 6.47984301379946 6.53395511918103 6.62307717066614 6.66112466006733 6.62981472083576
"ATF3" 5.53825640069959 5.54500049579866 5.57041026382706 5.67293020564092 5.54646355631029 5.74583098582511 5.56739582992087 5.70720247661682 5.90272849522103 5.30324337736669 5.45266738427483 5.64337063336871
"KIAA1217" 4.14119069824419 4.15310747203936 4.20294058182423 4.1424367540481 3.87693219872352 4.16350376067222 4.31747428584881 4.18386520152971 4.40157496577818 4.11412878445231 3.97365782298931 4.27932053861894
"BEST1" 8.07174549055099 8.13347973561053 8.39571380481515 7.92602693283188 8.47306919043525 8.11840907732979 8.23352797406586 8.10236879280274 8.35460839172262 8.44370514460266 8.1552456700637 8.35012475809064
"ST8SIA4" 3.69240647186454 3.60028538623182 3.73127911261628 3.8888814541712 3.5300973059147 3.80340118534394 3.78906375144233 3.95509672476896 3.69024207430958 3.66975592770724 3.66246054582742 3.45508607928514
"CRTAP" 9.00403858554451 8.95528823318692 8.86259861257525 8.85763996336763 8.37566664168568 8.666450457084 8.48385544794132 8.83120563780937 8.50367804945309 8.78147568442972 8.9353168589506 8.62735163337404
"TMEM37" 8.33859850294832 8.31708021997653 8.37318769516586 8.28580473302525 8.39403881157811 8.3992505710632 8.25293764538475 8.31008943135089 8.39149683167217 8.44771889200735 8.49127600438211 8.53838933226324
"OSCAR" 5.24249285384392 5.33766756347634 5.28186556785781 5.2846365233185 5.19698244556948 5.36969568387842 5.34014861163044 5.36150151589059 5.34684852801772 5.43422374416079 5.52130107104905 5.40799917443913
"PIK3AP1" 8.14733126564702 8.21828988985477 8.08223437596949 8.58530570936744 8.38212615955668 8.34422884872585 7.74523825431892 7.77347660241571 7.99935008498302 8.13476304877973 8.35900499862531 8.09879123339769
