"JURKAT" "IM9" "RAJI" "THP1" "Median sample"
"CASS4" 3.64972397367177 3.64870297459704 3.64678393358674 3.69827978590441 3.60816786347367
"FBLIM1" 4.83394463288312 4.54149913514717 4.85270616906111 4.67525403757933 4.68374936343639
"SYT16" 3.56766392501085 3.34610919103256 3.21747714456159 3.53872619426726 3.38013166169767
"ADCY7" 7.26781554902191 7.43729741603756 6.84657361799912 7.45160669692824 7.37973336121302
"STEAP3" 4.50925278728479 6.43259119034657 4.66309478136696 6.14930228658092 5.54519952512788
"MCTP2" 5.92231181404067 5.02524076162179 5.39140728647984 5.62157870992093 5.43336780178896
"RASSF5" 9.19668451372805 9.27280119096426 8.56926114381484 8.6467835955485 8.87783879747523
"B3GNT5" 5.42347864058866 5.53934560352265 5.58788233771436 6.31961985325288 5.99888500763775
"PTPN7" 5.83214338496596 5.55749930314339 5.39689583257184 6.0905409302873 5.84703850124582
"CMAHP" 3.41842557593327 3.58641568148639 3.40966867192311 3.46091560081559 3.43131762414095
"PRR16" 5.1207285882898 4.96925236499401 5.12779836773415 5.11281614489546 5.21765969998584
"MITF" 3.73085523654232 3.55534119748762 3.64872651939195 3.6759838595693 3.50487775638323
"FCER1G" 5.04253966167024 5.18640958876037 5.00979237620892 10.572207438545 9.16040837105368
"FRMD8" 7.6060077989298 7.35842220755117 7.55885434329408 7.56858981217032 7.55947307088036
"FILIP1L" 4.94602570151266 4.66498994221178 4.75406139682483 5.03037723838412 4.92752029329531
"PTGS2" 4.06331689497698 4.09017831027165 3.99975304625038 4.05629900345412 4.00267380645589
"IL16" 7.12714232837005 7.10243085720493 7.11788193551401 7.13248366196238 7.14380368765029
"CDHR1" 5.12056519830451 4.66268583088699 4.8908874144608 4.90487228723889 4.91183493314187
"ADAM22" 3.36594988036009 3.24752831309032 3.28680630197074 3.37040594885824 3.29728782661666
"TMEM26" 3.79940056824136 3.36349318924985 3.51480061337677 3.8444883475217 3.56497351471029
"P4HA2" 3.9418151414004 4.07718241181633 3.96344352253522 4.04572466598644 3.92022770387076
"NAGA" 8.52094071387352 9.5259195931354 8.14831491429065 10.8646259881069 10.1223465562785
"CCNG2" 6.19109403240828 5.66960284402647 5.6492589832046 5.7892129537367 5.80631724244403
"ARHGAP25" 6.75832163320986 6.50390789164776 6.36476884970161 6.57365216801174 6.47395918641353
"PPM1F" 4.95883301604509 5.08493025519075 5.14843982980809 4.9438173428817 4.92019271558171
"SLC11A1" 3.37436548105052 3.34584666608053 3.34860354705369 3.34013951965689 3.39335737794713
"NAMPT" 7.67363922167466 8.85486792534771 8.41480083235991 6.97808479929345 7.90520446438235
"PRKAA1" 3.94381050489877 3.53627167859103 3.57018673333967 3.55553331462276 3.59106193205977
"C1S" 4.366762070641 4.297163584727 4.43211993325306 4.50375488758192 4.37037169593203
"ANO1" 6.64012624467493 6.92820581023064 6.9483613683015 6.74107505129296 6.64168960438101
"KLHL6" 5.39079775086753 4.93747622641541 6.67541131167979 4.93054122610129 5.45999725458599
"STAB1" 5.32555531953243 5.37786198516111 5.37301689805007 5.35001541480063 5.1800841227767
"PTK7" 4.20862847483214 3.86133310231814 3.43357973534736 3.81756995613428 3.88952840995449
"ADAM9" 6.8645512796716 7.02550659933673 7.87812319498159 6.88448373292657 7.0216345232876
"RAP1A" 4.89793884802298 5.08008948057505 5.17232657377454 5.05862490153045 4.90443259529697
"ITGB2" 9.30916693949296 10.055161579409 9.14703586651861 10.9177368180956 10.2738015586484
"GRIK2" 3.29192029954406 3.25286115396003 3.01415281773544 3.17934006066073 3.08739244665928
"ADAMTS4" 5.92377051260688 5.84239301918538 6.15326063478593 6.03518908990874 6.06248352450705
"B4GALNT1" 6.18818410233985 5.56577077653366 5.51023272148814 5.99999872053062 5.8206151497372
"FGD3" 6.12902555927667 5.90323572501227 5.77582820084052 6.28039505707397 5.86245574026798
"ALOX15B" 4.7658879745325 4.90191117270793 4.79217980497473 4.8041515841095 5.09417366095045
"ASAH1" 8.11747805115408 8.01950965771094 9.54303063785026 9.19540078838788 8.79961086486471
"SLC39A14" 4.54648395522512 4.49969447764996 4.41938520441055 4.75951578244294 4.69064421255547
"LITAF" 3.84025974341358 3.96307613496465 3.89505802617903 3.84300766216749 3.95132039720282
"IFIH1" 4.23032190115891 5.3687659865042 4.73870502774526 4.41546261834577 4.70488376507535
"NRP2" 6.28823113681542 6.33899972986032 6.3964131054921 6.37680385681821 6.37631265632933
"CLASP2" 7.67194136157769 7.07427223409556 7.15800386199716 7.04444626387184 7.15203166597615
"C19orf66" 6.69737511242577 7.12185167478993 6.72134816496493 6.34970851301217 6.54415204151476
"IFNLR1" 7.32358258078626 7.5210512941472 7.68787831967137 7.40775715221934 7.63770370627483
"SLC2A4RG" 6.36376369581876 6.30492847887639 6.64036065741888 8.40742669334192 7.31295297785755
"SLC25A41" 5.42139435102105 5.37786063811649 5.37668689994519 5.4654443965652 5.21630625781562
"COL9A1" 3.62867904980217 3.54623437189995 3.54392166005673 3.59583994780372 3.50745396541752
"ANTXR2" 5.8239177899887 5.64920213370203 5.59529794304045 5.74639515502741 5.76280084825411
"SDS" 4.99139343674283 4.93710601603268 5.01174270949602 4.81339769262676 4.93790910983869
"POFUT2" 7.18942673407869 7.08546474341179 7.25770784943219 7.23690998968031 7.23534910456603
"TNK2" 4.57252990431273 4.49986499395339 4.67688834583398 4.36034195935159 4.50936168032251
"USP25" 3.21637636377933 3.42785936851046 3.42544642418878 3.30689233673702 3.17700596979186
"CFI" 3.60925402729819 3.61916525963571 3.88975662413338 3.57471444614194 3.55703362552665
"KDELR1" 10.4929807799271 10.6820434981935 10.6854822677549 10.9754148294853 10.7656374267233
"MBNL1" 8.98812631511765 9.29427909093643 8.71728175011205 9.45090417395145 9.09069027804869
"ELAVL3" 4.37027182389781 4.59150658095795 4.65964879794988 4.64706226574136 4.57415685982771
